YYYYMM,Long_ACCRUAL_ADJ,Short_ACCRUAL_ADJ,Spread_ACCRUAL_ADJ,Long_ASSET_GROWTH,Short_ASSET_GROWTH,Spread_ASSET_GROWTH,Long_COMPOSITE_ISSUE,Short_COMPOSITE_ISSUE,Spread_COMPOSITE_ISSUE,Long_DISTRESS,Short_DISTRESS,Spread_DISTRESS,Long_GP_ADJ,Short_GP_ADJ,Spread_GP_ADJ,Long_INVASSET,Short_INVASSET,Spread_INVASSET,Long_MOMENTUM,Short_MOMENTUM,Spread_MOMENTUM,Long_NOA,Short_NOA,Spread_NOA,Long_OSCORE,Short_OSCORE,Spread_OSCORE,Long_ROA,Short_ROA,Spread_ROA,Long_STOCK_ISSUE,Short_STOCK_ISSUE,Spread_STOCK_ISSUE
198002,0.035526,-0.021523,0.057049127,0.002945,-0.005942,0.008887293,0.021345,-0.019313,0.040658877,0.048084,-0.059701,0.107785183,-0.053749,-0.067323,0.013573882,-0.023156,-0.002691,-0.020464465,0.052053,-0.053578,0.105630307,-0.076747,0.013358,-0.090105071,-0.020844,0.008672,-0.029515539,-0.022399,-0.062969,0.040569549,0.006066,-0.023726,0.029792051
198003,-0.155015,-0.139763,-0.015251814,-0.151926,-0.151675,-0.000251415,-0.10379,-0.135042,0.031252692,-0.15549,-0.109466,-0.046023516,-0.084269,-0.077659,-0.006609382,-0.15831,-0.16493,0.006619957,-0.213164,-0.032782,-0.180381738,-0.078464,-0.153582,0.075118055,-0.088478,-0.203525,0.115046463,-0.124228,-0.083981,-0.040246521,-0.12644,-0.121388,-0.005052157
198004,0.037732,0.035396,0.002336517,0.046025,0.073518,-0.027492843,0.049924,0.079738,-0.029813913,0.041765,0.078484,-0.036719415,0.023983,0.088068,-0.064085529,0.050078,0.063452,-0.0133745,0.071413,0.070221,0.001191734,0.052285,0.085807,-0.033522157,0.028265,0.085972,-0.057707138,0.02541,0.052278,-0.026868287,0.029808,0.087322,-0.057513703
198005,0.045671,0.067755,-0.022084201,0.084899,0.059167,0.0257321,0.077679,0.062173,0.015506686,0.058812,0.077117,-0.01830457,0.082716,0.069055,0.013660522,0.080453,0.066589,0.013863766,0.03645,0.082967,-0.04651703,0.059273,0.070755,-0.011482712,0.060277,0.067478,-0.007200147,0.068461,0.067453,0.001007296,0.070975,0.056576,0.014398327
198006,0.068751,0.040736,0.028015301,0.045839,0.091345,-0.045505888,0.035338,0.048202,-0.01286478,0.027705,0.040369,-0.012663788,0.029347,0.046348,-0.017001054,0.038128,0.083839,-0.045710803,0.068191,0.047052,0.021139192,0.045511,0.076118,-0.030606616,0.026237,0.065018,-0.03878156,0.034732,0.03916,-0.004428404,0.034389,0.048222,-0.01383294
198007,0.073104,0.158745,-0.085640895,0.072758,0.099165,-0.026406523,0.059025,0.086732,-0.0277069,0.054125,0.124952,-0.070827523,0.115042,0.021245,0.093796827,0.069637,0.089244,-0.01960708,0.059393,0.10502,-0.045627008,0.05198,0.081096,-0.029115944,0.094046,0.093522,0.000523324,0.082087,0.051012,0.031075261,0.078934,0.056958,0.021976109
198008,0.049359,0.053541,-0.004182143,0.0532,0.0545,-0.001299748,0.048732,0.030679,0.018052969,0.024086,0.048743,-0.024657136,0.022709,0.009756,0.012953016,0.053912,0.046999,0.00691297,0.052132,0.017987,0.034144169,0.010775,0.046167,-0.035392534,0.017211,0.072912,-0.055701056,0.048473,0.019335,0.029137629,0.020374,0.027265,-0.006890607
198009,0.064162,0.059129,0.00503258,0.029156,0.078076,-0.048920123,-0.004178,0.05837,-0.062547537,0.048557,0.00283,0.0457271,0.030684,0.013097,0.017586436,0.025011,0.080012,-0.055000745,0.08001,-0.000796,0.080805512,0.018667,0.040559,-0.021891872,0.018275,0.038682,-0.020406984,0.063172,-0.013122,0.076294211,0.011399,0.047747,-0.03634808
198010,0.018886,0.037475,-0.018588757,0.020529,0.024585,-0.004056413,-0.015485,0.029124,-0.044608777,0.017803,-0.012304,0.030107097,0.003097,-0.011555,0.01465196,0.013623,0.032039,-0.018415271,0.055005,-0.015462,0.070466297,0.002045,0.024575,-0.022530699,0.00819,0.044391,-0.036201216,0.019657,-0.029771,0.049427556,0.029855,0.024346,0.005509318
198011,0.153023,0.135341,0.017681697,0.071089,0.164109,-0.093020329,0.035162,0.150063,-0.114901186,0.133174,0.012794,0.120379469,0.050711,0.024736,0.02597459,0.104358,0.1777,-0.073341326,0.171861,0.012152,0.159708585,0.064164,0.107931,-0.043767251,0.091648,0.124539,-0.032891203,0.08998,-0.007904,0.097884286,0.11692,0.121579,-0.004659322
198012,-0.063549,-0.033658,-0.029890712,-0.030403,-0.043945,0.013541308,-0.054447,-0.037379,-0.017068272,-0.076523,-0.024199,-0.052324733,0.009047,0.046954,-0.037906941,-0.025612,-0.059331,0.033719704,-0.074274,0.001763,-0.076036446,0.038342,-0.034171,0.072513032,-0.031442,-0.04447,0.013028383,-0.022431,-0.019206,-0.003225256,-0.04209,-0.045364,0.003274065
198101,-0.074359,-0.079291,0.004931596,-0.011853,-0.088052,0.07619852,-0.023047,-0.063596,0.0405494,-0.052794,-0.009877,-0.042917083,-0.021725,-0.006875,-0.014849438,-0.04886,-0.092967,0.044106488,-0.113032,-0.006049,-0.106983883,-0.034611,-0.042082,0.007470692,-0.037847,-0.043884,0.006037183,-0.052375,-0.001686,-0.050688568,-0.026852,-0.062308,0.035455808
198102,0.023342,-0.018792,0.042134484,0.020157,-0.005637,0.025794113,-0.01354,0.010261,-0.023801009,0.044309,0.001926,0.042383473,0.028985,0.024246,0.004739311,0.017803,0.001812,0.015991149,-0.001868,0.003182,-0.00505015,0.025957,-0.006859,0.032815231,0.024594,0.027109,-0.002514702,0.028351,0.036538,-0.00818783,0.011416,0.008523,0.002893886
198103,0.0267,0.092451,-0.065750525,0.07069,0.066069,0.004620898,0.043267,0.063892,-0.020624926,0.03704,0.10078,-0.063739333,0.047129,0.058487,-0.011358328,0.095941,0.055467,0.040473879,0.087912,0.105628,-0.017715482,0.052238,0.067717,-0.015479547,0.019138,0.070703,-0.051564831,0.045212,0.040978,0.004233807,0.050593,0.062748,-0.01215459
198104,-0.042237,0.009009,-0.051245369,-0.00818,-0.010608,0.002428594,0.010034,0.010097,-0.000063743,0.006049,0.009207,-0.003157838,0.008395,0.020881,-0.012485299,0.005421,-0.026989,0.032410058,0.000202,-0.015225,0.015426198,0.010413,-0.004362,0.014775571,-0.001901,0.013645,-0.015545751,-0.005394,-0.005096,-0.000297944,0.002734,-0.031693,0.034427066
198105,-0.001472,0.031437,-0.032909164,0.005951,0.045277,-0.039325973,0.003196,0.037002,-0.033806463,0.037335,0.036187,0.001147403,0.029606,0.041044,-0.011437836,0.022746,0.028651,-0.005905149,0.060008,0.00135,0.0586574,0.026127,0.043047,-0.016919683,0.001554,0.037575,-0.036021119,0.028174,0.037742,-0.009568432,0.005088,0.025128,-0.020040187
198106,-0.023188,-0.065492,0.042303924,-0.009515,-0.059571,0.050055409,0.02669,-0.064264,0.090953793,-0.034124,0.002793,-0.036916312,-0.037887,0.017362,-0.05524939,-0.012027,-0.054043,0.042016134,-0.086003,0.043377,-0.129379924,0.001323,-0.043836,0.045158841,-0.013108,-0.048398,0.035290209,-0.043368,-0.011126,-0.032242099,0.002484,-0.03925,0.041734092
198107,0.0176,-0.016601,0.034201188,-0.004307,0.001813,-0.006119994,-0.000659,0.008054,-0.008713129,-0.046216,-0.009817,-0.036398756,-0.03526,-0.034485,-0.000775235,-0.015657,0.013838,-0.029494471,-0.024058,0.047187,-0.071244671,-0.031727,-0.004499,-0.027227777,-0.002441,-0.017639,0.015197195,-0.005949,-0.055877,0.049928419,0.009148,0.012551,-0.003403145
198108,-0.079277,-0.095107,0.01582943,-0.069764,-0.086356,0.016591882,-0.04795,-0.08116,0.033209681,-0.053444,-0.097617,0.044173653,-0.047878,-0.046069,-0.00180829,-0.070618,-0.092484,0.021865779,-0.085011,-0.074934,-0.010076986,-0.050716,-0.077973,0.027257019,-0.045129,-0.096095,0.050966109,-0.063148,-0.069334,0.006186083,-0.059138,-0.066091,0.006953499
198109,-0.085292,-0.070772,-0.014520165,-0.082757,-0.108915,0.026158298,-0.041008,-0.088118,0.047110056,-0.034439,-0.073594,0.039154342,-0.019702,-0.023434,0.003732005,-0.071134,-0.118967,0.047832937,-0.0616,-0.096786,0.03518592,-0.034065,-0.103624,0.069558714,-0.048178,-0.067517,0.019339112,-0.062661,-0.045092,-0.0175693,-0.049417,-0.083392,0.033975083
198110,0.03464,0.088003,-0.053363366,0.078304,0.114908,-0.036603855,0.028982,0.113303,-0.084320968,0.040195,0.09475,-0.054555682,0.049589,0.061451,-0.01186203,0.085358,0.122033,-0.036675603,0.122017,0.021446,0.100570462,0.066247,0.093614,-0.027366386,0.040004,0.067618,-0.027614111,0.096897,0.042229,0.054667744,0.051878,0.090904,-0.039025786
